,Symbol,Control-T1_RReadsPerGene.out.tab,Control-T2_RReadsPerGene.out.tab,Control-T3_RReadsPerGene.out.tab,Infected-E2-T1_RReadsPerGene.out.tab,Infected-E2-T2_RReadsPerGene.out.tab,Infected-E2-T3_RReadsPerGene.out.tab,Infected-JVB-T1_RReadsPerGene.out.tab,Infected-JVB-T2_RReadsPerGene.out.tab,Infected-JVB-T3_RReadsPerGene.out.tab
ENSG00000223972,DDX11L2,1,2,5,5,4,11,4,6,2
ENSG00000227232,NA,51,44,24,46,30,38,30,26,39
ENSG00000278267,MIR6859-1,0,0,0,0,0,0,0,0,0
ENSG00000243485,NA,0,0,0,0,0,0,0,0,0
ENSG00000284332,MIR1302-2,0,0,0,0,0,0,0,0,0
ENSG00000237613,FAM138A,0,0,0,0,0,1,0,0,0
ENSG00000268020,OR4G4P,0,0,0,0,0,0,0,3,0
ENSG00000240361,NA,0,0,0,0,0,0,0,0,0
ENSG00000186092,OR4F5,0,0,0,0,0,0,0,0,0
ENSG00000238009,LOC100996442,1,0,0,0,4,2,1,0,1
ENSG00000239945,NA,0,0,0,0,0,0,0,0,0
ENSG00000233750,CICP27,3,1,0,1,0,0,1,1,4
ENSG00000268903,NA,2,5,2,1,1,0,0,1,1
ENSG00000269981,NA,7,1,0,1,6,3,0,7,3
ENSG00000239906,NA,0,0,0,0,0,0,0,0,0
ENSG00000241860,NA,3,3,3,2,8,6,5,9,15
ENSG00000222623,RNU6-1100P,0,0,0,0,0,0,0,0,0
ENSG00000241599,NA,0,0,0,0,0,0,0,0,0
ENSG00000279928,NA,1,0,0,3,1,2,1,1,3
ENSG00000279457,NA,24,19,23,47,23,18,11,14,31
ENSG00000273874,MIR6859-2,0,0,0,0,0,1,0,0,0
ENSG00000228463,RPL23AP21,14,5,5,14,7,13,5,6,8
ENSG00000286448,NA,3,0,0,0,0,0,0,0,0
ENSG00000236679,RPL23AP24,0,0,1,0,0,0,1,0,0
ENSG00000236601,NA,0,0,0,0,0,0,0,0,0
ENSG00000237094,NA,16,7,8,7,9,19,10,14,10
ENSG00000269732,NA,0,0,0,0,0,0,0,0,0
ENSG00000284733,OR4F29,0,0,0,0,0,0,0,0,0
ENSG00000233653,NA,0,0,0,0,0,0,0,0,0
ENSG00000250575,NA,0,0,0,0,0,0,0,0,0
ENSG00000278757,NA,0,0,0,0,1,0,0,0,0
ENSG00000230021,LOC101928626,6,5,5,3,2,2,3,5,4
ENSG00000235146,NA,0,0,0,0,0,0,0,0,0
ENSG00000225972,MTND1P23,4526,3380,3707,3873,3117,2781,3198,2715,2853
ENSG00000225630,MTND2P28,407,284,343,303,286,213,301,256,241
ENSG00000237973,MTCO1P12,1919,1581,1673,1796,1656,1461,1875,1419,1485
ENSG00000278791,NA,0,0,0,0,0,0,0,0,0
ENSG00000229344,MTCO2P12,488,435,431,448,388,377,461,390,377
ENSG00000240409,MTATP8P1,0,0,0,0,1,0,1,0,0
ENSG00000248527,MTATP6P1,1148,726,852,913,919,720,922,731,712
ENSG00000198744,MTCO3P12,338,242,259,283,285,212,257,213,198
ENSG00000268663,NA,0,0,0,0,0,0,0,0,0
